ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
ura,,ura,ura.ura_1.Heavy,69.37886022,,115,Unit,43,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ura,,ura,ura.ura_1.Light,69.37187928,,111,Unit,42,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
AICAr,,AICAr,AICAr.AICAr_1.Heavy,71.58718662,,266,Unit,129,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
AICAr,,AICAr,AICAr.AICAr_1.Light,71.58718662,,257,Unit,125,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_1.Heavy,73.60626234,,153,Unit,48,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_1.Light,73.60537224,,148,Unit,47,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
uri,,uri,uri.uri_1.Heavy,73.25294268,,252,Unit,43,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
uri,,uri,uri.uri_1.Light,73.2289167,,243.001,Unit,42,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
uri,,uri,uri.uri_2.Light,73.2289167,,243.001,Unit,110,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gua,,gua,gua.gua_1.Heavy,73.43779344,,155,Unit,138,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gua,,gua,gua.gua_1.Light,73.54688274,,149.916,Unit,133,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
