Name	Vial	Method Path	Mathod File	Data Path	Data File	Type	Level	Dil.	Vol.	Tray Name	Comment
170808_Jonathan_yeast_Sacc1_1x	-1	D:\DATA\TODO	MethodName.M	D:\DATA\TODO	1900-01-01_000000\170808_Jonathan_yeast_Sacc1_1x	Unknown		1.000000	3.000000	Rack -1	
170808_Jonathan_yeast_Sacc2_1x	-1	D:\DATA\TODO	MethodName.M	D:\DATA\TODO	1900-01-01_000000\170808_Jonathan_yeast_Sacc2_1x	Unknown		1.000000	3.000000	Rack -1	
170808_Jonathan_yeast_Sacc3_1x	-1	D:\DATA\TODO	MethodName.M	D:\DATA\TODO	1900-01-01_000000\170808_Jonathan_yeast_Sacc3_1x	Unknown		1.000000	3.000000	Rack -1	
