component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,retention_time_l,retention_time_u
R5P_462,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_463,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_604,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_605,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_606,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_607,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_608,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_609,100,1.00E+12,0.9,1.00E+06,868.2,988.2
R5P_610,100,1.00E+12,0.9,1.00E+06,868.2,988.2
F6P_217,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_218,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_219,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_220,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_221,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_357,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_358,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_359,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_360,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_706,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_707,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_708,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_709,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_710,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_711,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_712,100,1.00E+12,0.9,1.00E+06,936,1056
F6P_713,100,1.00E+12,0.9,1.00E+06,936,1056
G6P_160,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_161,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_162,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_163,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_357,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_358,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_359,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_360,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_471,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_472,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_473,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_474,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_475,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_476,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_706,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_707,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_708,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_709,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_710,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_711,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_712,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
G6P_713,100,1.00E+12,0.9,1.00E+06,940.8,1060.8
S7P_357,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_358,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_359,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_360,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_471,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_472,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_473,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_474,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_475,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
S7P_476,100,1.00E+12,0.9,1.00E+06,1011.6,1131.6
