File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/500.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	100 ug/ml ISO
Injection Number	90
Position	RC9
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:41:54 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.004446
Signal Max.	38.084154
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.001912
0.006667	0.200	-0.014126
0.010000	0.200	-0.048443
0.013333	0.200	-0.104283
0.016667	0.200	-0.161782
0.020000	0.200	-0.197310
0.023333	0.200	-0.200835
0.026667	0.200	-0.177948
0.030000	0.200	-0.142400
0.033333	0.200	-0.107745
0.036667	0.200	-0.081892
0.040000	0.200	-0.066821
0.043333	0.200	-0.061687
0.046667	0.200	-0.065030
0.050000	0.200	-0.074962
0.053333	0.200	-0.089016
0.056667	0.200	-0.104707
0.060000	0.200	-0.120560
0.063333	0.200	-0.136230
0.066667	0.200	-0.151496
0.070000	0.200	-0.165827
0.073333	0.200	-0.178690
0.076667	0.200	-0.189851
0.080000	0.200	-0.199605
0.083333	0.200	-0.208460
0.086667	0.200	-0.216793
0.090000	0.200	-0.225239
0.093333	0.200	-0.234499
0.096667	0.200	-0.244369
0.100000	0.200	-0.253938
0.103333	0.200	-0.262701
0.106667	0.200	-0.270854
0.110000	0.200	-0.278964
0.113333	0.200	-0.287703
0.116667	0.200	-0.297428
0.120000	0.200	-0.307919
0.123333	0.200	-0.318550
0.126667	0.200	-0.328699
0.130000	0.200	-0.338097
0.133333	0.200	-0.346693
0.136667	0.200	-0.354273
0.140000	0.200	-0.360550
0.143333	0.200	-0.365478
0.146667	0.200	-0.369539
0.150000	0.200	-0.373841
0.153333	0.200	-0.379506
0.156667	0.200	-0.387007
0.160000	0.200	-0.396216
0.163333	0.200	-0.406460
0.166667	0.200	-0.416448
0.170000	0.200	-0.424797
0.173333	0.200	-0.431128
0.176667	0.200	-0.436404
0.180000	0.200	-0.441979
0.183333	0.200	-0.448459
0.186667	0.200	-0.455430
0.190000	0.200	-0.462022
0.193333	0.200	-0.467442
0.196667	0.200	-0.471193
0.200000	0.200	-0.473426
0.203333	0.200	-0.475127
0.206667	0.200	-0.477664
0.210000	0.200	-0.481897
0.213333	0.200	-0.487705
0.216667	0.200	-0.494555
0.220000	0.200	-0.502166
0.223333	0.200	-0.510200
0.226667	0.200	-0.517879
0.230000	0.200	-0.524628
0.233333	0.200	-0.530570
0.236667	0.200	-0.535998
0.240000	0.200	-0.540882
0.243333	0.200	-0.545018
0.246667	0.200	-0.548502
0.250000	0.200	-0.552091
0.253333	0.200	-0.556595
0.256667	0.200	-0.562000
0.260000	0.200	-0.567819
0.263333	0.200	-0.573740
0.266667	0.200	-0.579353
0.270000	0.200	-0.583918
0.273333	0.200	-0.587243
0.276667	0.200	-0.590408
0.280000	0.200	-0.594663
0.283333	0.200	-0.600048
0.286667	0.200	-0.605695
0.290000	0.200	-0.610769
0.293333	0.200	-0.614906
0.296667	0.200	-0.618101
0.300000	0.200	-0.620278
0.303333	0.200	-0.621383
0.306667	0.200	-0.621941
0.310000	0.200	-0.622982
0.313333	0.200	-0.625317
0.316667	0.200	-0.628981
0.320000	0.200	-0.633219
0.323333	0.200	-0.637140
0.326667	0.200	-0.640652
0.330000	0.200	-0.644428
0.333333	0.200	-0.648999
0.336667	0.200	-0.654329
0.340000	0.200	-0.659912
0.343333	0.200	-0.665134
0.346667	0.200	-0.669780
0.350000	0.200	-0.673938
0.353333	0.200	-0.677510
0.356667	0.200	-0.680250
0.360000	0.200	-0.682066
0.363333	0.200	-0.683057
0.366667	0.200	-0.683513
0.370000	0.200	-0.683722
0.373333	0.200	-0.683781
0.376667	0.200	-0.683904
0.380000	0.200	-0.684627
0.383333	0.200	-0.686517
0.386667	0.200	-0.689940
0.390000	0.200	-0.694819
0.393333	0.200	-0.700291
0.396667	0.200	-0.705036
0.400000	0.200	-0.708243
0.403333	0.200	-0.710201
0.406667	0.200	-0.711989
0.410000	0.200	-0.714716
0.413333	0.200	-0.718672
0.416667	0.200	-0.722890
0.420000	0.200	-0.725944
0.423333	0.200	-0.727387
0.426667	0.200	-0.728062
0.430000	0.200	-0.728950
0.433333	0.200	-0.730266
0.436667	0.200	-0.731915
0.440000	0.200	-0.734064
0.443333	0.200	-0.736856
0.446667	0.200	-0.740022
0.450000	0.200	-0.743045
0.453333	0.200	-0.745513
0.456667	0.200	-0.747242
0.460000	0.200	-0.748361
0.463333	0.200	-0.749329
0.466667	0.200	-0.750649
0.470000	0.200	-0.752635
0.473333	0.200	-0.755403
0.476667	0.200	-0.758727
0.480000	0.200	-0.762136
0.483333	0.200	-0.765385
0.486667	0.200	-0.768397
0.490000	0.200	-0.770981
0.493333	0.200	-0.773034
0.496667	0.200	-0.774561
0.500000	0.200	-0.775466
0.503333	0.200	-0.775957
0.506667	0.200	-0.776912
0.510000	0.200	-0.779345
0.513333	0.200	-0.783377
0.516667	0.200	-0.787874
0.520000	0.200	-0.791306
0.523333	0.200	-0.792865
0.526667	0.200	-0.792779
0.530000	0.200	-0.791771
0.533333	0.200	-0.790496
0.536667	0.200	-0.789496
