File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/727.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	25 ug/ml ISO
Injection Number	88
Position	RC7
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:18:37 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-2.848634
Signal Max.	32.278079
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002306
0.006667	0.200	-0.016269
0.010000	0.200	-0.054050
0.013333	0.200	-0.115978
0.016667	0.200	-0.187802
0.020000	0.200	-0.254708
0.023333	0.200	-0.310999
0.026667	0.200	-0.357805
0.030000	0.200	-0.397291
0.033333	0.200	-0.429515
0.036667	0.200	-0.452999
0.040000	0.200	-0.467517
0.043333	0.200	-0.476930
0.046667	0.200	-0.488542
0.050000	0.200	-0.508311
0.053333	0.200	-0.537223
0.056667	0.200	-0.572182
0.060000	0.200	-0.608804
0.063333	0.200	-0.643368
0.066667	0.200	-0.673336
0.070000	0.200	-0.697230
0.073333	0.200	-0.714950
0.076667	0.200	-0.728090
0.080000	0.200	-0.738890
0.083333	0.200	-0.748590
0.086667	0.200	-0.757269
0.090000	0.200	-0.764954
0.093333	0.200	-0.772276
0.096667	0.200	-0.780058
0.100000	0.200	-0.788618
0.103333	0.200	-0.797749
0.106667	0.200	-0.807121
0.110000	0.200	-0.816526
0.113333	0.200	-0.826028
0.116667	0.200	-0.835824
0.120000	0.200	-0.845861
0.123333	0.200	-0.855663
0.126667	0.200	-0.864643
0.130000	0.200	-0.872687
0.133333	0.200	-0.880226
0.136667	0.200	-0.887684
0.140000	0.200	-0.894948
0.143333	0.200	-0.901251
0.146667	0.200	-0.905708
0.150000	0.200	-0.907764
0.153333	0.200	-0.906876
0.156667	0.200	-0.902643
0.160000	0.200	-0.895715
0.163333	0.200	-0.888048
0.166667	0.200	-0.881835
0.170000	0.200	-0.878006
0.173333	0.200	-0.876079
0.176667	0.200	-0.875606
0.180000	0.200	-0.877030
0.183333	0.200	-0.880903
0.186667	0.200	-0.886949
0.190000	0.200	-0.894103
0.193333	0.200	-0.901117
0.196667	0.200	-0.907333
0.200000	0.200	-0.913104
0.203333	0.200	-0.919126
0.206667	0.200	-0.925512
0.210000	0.200	-0.931918
0.213333	0.200	-0.938006
0.216667	0.200	-0.943541
0.220000	0.200	-0.948619
0.223333	0.200	-0.953717
0.226667	0.200	-0.959150
0.230000	0.200	-0.964898
0.233333	0.200	-0.970946
0.236667	0.200	-0.977137
0.240000	0.200	-0.983083
0.243333	0.200	-0.988886
0.246667	0.200	-0.995242
0.250000	0.200	-1.002257
0.253333	0.200	-1.009098
0.256667	0.200	-1.015146
0.260000	0.200	-1.020588
0.263333	0.200	-1.025724
0.266667	0.200	-1.030271
0.270000	0.200	-1.033576
0.273333	0.200	-1.035340
0.276667	0.200	-1.036009
0.280000	0.200	-1.036560
0.283333	0.200	-1.037915
0.286667	0.200	-1.040581
0.290000	0.200	-1.044759
0.293333	0.200	-1.050229
0.296667	0.200	-1.056166
0.300000	0.200	-1.061661
0.303333	0.200	-1.066365
0.306667	0.200	-1.070340
0.310000	0.200	-1.073601
0.313333	0.200	-1.076081
0.316667	0.200	-1.077807
0.320000	0.200	-1.078881
0.323333	0.200	-1.079451
0.326667	0.200	-1.080461
0.330000	0.200	-1.084792
0.333333	0.200	-1.096214
0.336667	0.200	-1.116090
0.340000	0.200	-1.141843
0.343333	0.200	-1.168872
0.346667	0.200	-1.193347
0.350000	0.200	-1.213435
0.353333	0.200	-1.228858
0.356667	0.200	-1.240025
0.360000	0.200	-1.247557
0.363333	0.200	-1.252333
0.366667	0.200	-1.255471
0.370000	0.200	-1.257702
0.373333	0.200	-1.259111
0.376667	0.200	-1.259959
0.380000	0.200	-1.261147
0.383333	0.200	-1.263343
0.386667	0.200	-1.266199
0.390000	0.200	-1.268815
0.393333	0.200	-1.270689
0.396667	0.200	-1.272181
0.400000	0.200	-1.274066
0.403333	0.200	-1.276748
0.406667	0.200	-1.280192
0.410000	0.200	-1.284314
0.413333	0.200	-1.288850
0.416667	0.200	-1.293066
0.420000	0.200	-1.296170
0.423333	0.200	-1.298116
0.426667	0.200	-1.299779
0.430000	0.200	-1.302171
0.433333	0.200	-1.305570
0.436667	0.200	-1.309402
0.440000	0.200	-1.312676
0.443333	0.200	-1.314861
0.446667	0.200	-1.316426
0.450000	0.200	-1.318177
0.453333	0.200	-1.320573
0.456667	0.200	-1.323934
0.460000	0.200	-1.328465
0.463333	0.200	-1.333721
0.466667	0.200	-1.338494
0.470000	0.200	-1.341554
0.473333	0.200	-1.342412
0.476667	0.200	-1.341405
0.480000	0.200	-1.339637
0.483333	0.200	-1.338808
0.486667	0.200	-1.340195
0.490000	0.200	-1.343543
0.493333	0.200	-1.347292
0.496667	0.200	-1.349866
0.500000	0.200	-1.350834
0.503333	0.200	-1.351073
0.506667	0.200	-1.351863
0.510000	0.200	-1.353856
0.513333	0.200	-1.356724
0.516667	0.200	-1.359772
0.520000	0.200	-1.362667
0.523333	0.200	-1.365269
0.526667	0.200	-1.367322
0.530000	0.200	-1.368804
0.533333	0.200	-1.370098
0.536667	0.200	-1.371404
0.540000	0.200	-1.372612
0.543333	0.200	-1.373878
0.546667	0.200	-1.375413
0.550000	0.200	-1.376863
0.553333	0.200	-1.377635
0.556667	0.200	-1.377548
0.560000	0.200	-1.377021
0.563333	0.200	-1.376977
0.566667	0.200	-1.378261
0.570000	0.200	-1.380835
0.573333	0.200	-1.383956
0.576667	0.200	-1.386958
0.580000	0.200	-1.389359
0.583333	0.200	-1.390808
0.586667	0.200	-1.391486
0.590000	0.200	-1.392087
0.593333	0.200	-1.393272
0.596667	0.200	-1.395248
0.600000	0.200	-1.397691
0.603333	0.200	-1.399993
0.606667	0.200	-1.401580
0.610000	0.200	-1.402330
0.613333	0.200	-1.402633
0.616667	0.200	-1.402818
0.620000	0.200	-1.402825
0.623333	0.200	-1.402405
0.626667	0.200	-1.401592
0.630000	0.200	-1.400988
0.633333	0.200	-1.401388
0.636667	0.200	-1.403218
0.640000	0.200	-1.406178
0.643333	0.200	-1.409273
0.646667	0.200	-1.411544
0.650000	0.200	-1.412639
0.653333	0.200	-1.412625
0.656667	0.200	-1.411710
0.660000	0.200	-1.410219
0.663333	0.200	-1.408740
0.666667	0.200	-1.407949
0.670000	0.200	-1.407989
0.673333	0.200	-1.408389
0.676667	0.200	-1.408830
0.680000	0.200	-1.409542
0.683333	0.200	-1.410694
0.686667	0.200	-1.411938
0.690000	0.200	-1.412789
0.693333	0.200	-1.413036
0.696667	0.200	-1.412836
0.700000	0.200	-1.412541
0.703333	0.200	-1.412108
0.706667	0.200	-1.410903
0.710000	0.200	-1.408207
0.713333	0.200	-1.403656
0.716667	0.200	-1.397247
0.720000	0.200	-1.388935
0.723333	0.200	-1.378452
0.726667	0.200	-1.365980
0.730000	0.200	-1.352657
0.733333	0.200	-1.340172
0.736667	0.200	-1.330127
0.740000	0.200	-1.323436
0.743333	0.200	-1.320045
0.746667	0.200	-1.319465
0.750000	0.200	-1.321248
0.753333	0.200	-1.324697
0.756667	0.200	-1.328551
0.760000	0.200	-1.331349
0.763333	0.200	-1.332377
0.766667	0.200	-1.332319
0.770000	0.200	-1.332518
0.773333	0.200	-1.333494
0.776667	0.200	-1.334714
0.780000	0.200	-1.335606
0.783333	0.200	-1.336151
0.786667	0.200	-1.336581
0.790000	0.200	-1.337019
0.793333	0.200	-1.337530
0.796667	0.200	-1.338373
