File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/874.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	2,5 ug/ml ISO
Injection Number	85
Position	RC4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	6:43:34 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.395324
Signal Max.	32.990598
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.500000	0.200	-1.189364
0.503333	0.200	-1.189666
0.506667	0.200	-1.191749
0.510000	0.200	-1.195293
0.513333	0.200	-1.199511
0.516667	0.200	-1.203952
0.520000	0.200	-1.208519
0.523333	0.200	-1.212878
0.526667	0.200	-1.216163
0.530000	0.200	-1.217546
0.533333	0.200	-1.217114
0.536667	0.200	-1.215844
0.540000	0.200	-1.214872
0.543333	0.200	-1.215042
0.546667	0.200	-1.216662
0.550000	0.200	-1.219315
0.553333	0.200	-1.222231
0.556667	0.200	-1.224782
0.560000	0.200	-1.226681
0.563333	0.200	-1.228360
0.566667	0.200	-1.230863
0.570000	0.200	-1.234741
0.573333	0.200	-1.239450
0.576667	0.200	-1.243922
0.580000	0.200	-1.247207
0.583333	0.200	-1.248886
0.586667	0.200	-1.249293
0.590000	0.200	-1.249150
0.593333	0.200	-1.248996
0.596667	0.200	-1.249120
0.600000	0.200	-1.249922
0.603333	0.200	-1.251911
0.606667	0.200	-1.254845
0.610000	0.200	-1.257424
0.613333	0.200	-1.258656
0.616667	0.200	-1.258997
0.620000	0.200	-1.259651
0.623333	0.200	-1.261198
0.626667	0.200	-1.263067
0.630000	0.200	-1.264371
0.633333	0.200	-1.265122
0.636667	0.200	-1.266104
0.640000	0.200	-1.267712
0.643333	0.200	-1.269622
0.646667	0.200	-1.271404
0.650000	0.200	-1.272868
0.653333	0.200	-1.274067
0.656667	0.200	-1.275183
0.660000	0.200	-1.276231
0.663333	0.200	-1.277039
0.666667	0.200	-1.277521
0.670000	0.200	-1.277972
0.673333	0.200	-1.279161
0.676667	0.200	-1.281541
0.680000	0.200	-1.284529
0.683333	0.200	-1.287178
0.686667	0.200	-1.288907
0.690000	0.200	-1.289317
0.693333	0.200	-1.288202
0.696667	0.200	-1.286127
0.700000	0.200	-1.284307
0.703333	0.200	-1.283636
0.706667	0.200	-1.284293
0.710000	0.200	-1.286127
0.713333	0.200	-1.288762
0.716667	0.200	-1.291562
0.720000	0.200	-1.294048
0.723333	0.200	-1.296166
0.726667	0.200	-1.297973
0.730000	0.200	-1.299544
0.733333	0.200	-1.301030
0.736667	0.200	-1.302338
0.740000	0.200	-1.303041
0.743333	0.200	-1.302788
0.746667	0.200	-1.301719
0.750000	0.200	-1.300578
0.753333	0.200	-1.300268
0.756667	0.200	-1.301119
0.760000	0.200	-1.302888
0.763333	0.200	-1.305379
0.766667	0.200	-1.308380
0.770000	0.200	-1.311292
0.773333	0.200	-1.313526
0.776667	0.200	-1.314967
0.780000	0.200	-1.315688
0.783333	0.200	-1.315793
0.786667	0.200	-1.315837
0.790000	0.200	-1.316728
0.793333	0.200	-1.318999
0.796667	0.200	-1.322518
0.800000	0.200	-1.326515
0.803333	0.200	-1.329769
0.806667	0.200	-1.331384
0.810000	0.200	-1.331294
0.813333	0.200	-1.330064
0.816667	0.200	-1.328519
0.820000	0.200	-1.327334
0.823333	0.200	-1.327043
0.826667	0.200	-1.328247
0.830000	0.200	-1.331123
0.833333	0.200	-1.335071
0.836667	0.200	-1.339343
0.840000	0.200	-1.343604
0.843333	0.200	-1.347756
0.846667	0.200	-1.351910
0.850000	0.200	-1.356495
0.853333	0.200	-1.361946
0.856667	0.200	-1.368166
0.860000	0.200	-1.374091
0.863333	0.200	-1.377801
0.866667	0.200	-1.377471
0.870000	0.200	-1.372305
0.873333	0.200	-1.361891
0.876667	0.200	-1.344127
0.880000	0.200	-1.313599
0.883333	0.200	-1.262244
0.886667	0.200	-1.183208
0.890000	0.200	-1.076105
0.893333	0.200	-0.949094
0.896667	0.200	-0.815897
0.900000	0.200	-0.690921
0.903333	0.200	-0.585835
0.906667	0.200	-0.508019
0.910000	0.200	-0.460224
0.913333	0.200	-0.440890
0.916667	0.200	-0.445012
0.920000	0.200	-0.465748
0.923333	0.200	-0.496345
0.926667	0.200	-0.531574
0.930000	0.200	-0.568226
0.933333	0.200	-0.604922
0.936667	0.200	-0.641574
0.940000	0.200	-0.677995
0.943333	0.200	-0.711917
0.946667	0.200	-0.738030
0.950000	0.200	-0.749220
0.953333	0.200	-0.739850
0.956667	0.200	-0.709268
0.960000	0.200	-0.663455
0.963333	0.200	-0.613682
0.966667	0.200	-0.572712
0.970000	0.200	-0.550666
0.973333	0.200	-0.552278
0.976667	0.200	-0.576163
0.980000	0.200	-0.616286
0.983333	0.200	-0.664664
0.986667	0.200	-0.714027
0.990000	0.200	-0.759741
0.993333	0.200	-0.800375
0.996667	0.200	-0.837007
1.000000	0.200	-0.871993
1.003333	0.200	-0.907504
1.006667	0.200	-0.944326
1.010000	0.200	-0.981804
1.013333	0.200	-1.018489
1.016667	0.200	-1.052590
1.020000	0.200	-1.082404
1.023333	0.200	-1.106854
1.026667	0.200	-1.125803
1.030000	0.200	-1.140248
1.033333	0.200	-1.151989
1.036667	0.200	-1.162450
1.040000	0.200	-1.171622
1.043333	0.200	-1.178450
1.046667	0.200	-1.182229
1.050000	0.200	-1.182992
1.053333	0.200	-1.180642
1.056667	0.200	-1.174241
1.060000	0.200	-1.161580
1.063333	0.200	-1.138965
1.066667	0.200	-1.100948
1.070000	0.200	-1.038072
1.073333	0.200	-0.931819
1.076667	0.200	-0.747862
1.080000	0.200	-0.428223
1.083333	0.200	0.116623
1.086667	0.200	1.011466
1.090000	0.200	2.408465
1.093333	0.200	4.459801
1.096667	0.200	7.269052
1.100000	0.200	10.833529
1.103333	0.200	15.002474
1.106667	0.200	19.474522
1.110000	0.200	23.842836
1.113333	0.200	27.676101
1.116667	0.200	30.607749
1.120000	0.200	32.403701
1.123333	0.200	32.990598
1.126667	0.200	32.443117
1.130000	0.200	30.943097
1.133333	0.200	28.729064
1.136667	0.200	26.050681
1.140000	0.200	23.135294
1.143333	0.200	20.168677
1.146667	0.200	17.288670
1.150000	0.200	14.587982
1.153333	0.200	12.121671
1.156667	0.200	9.916038
1.160000	0.200	7.977350
1.163333	0.200	6.299264
1.166667	0.200	4.868158
1.170000	0.200	3.666208
1.173333	0.200	2.672280
1.176667	0.200	1.862128
1.180000	0.200	1.209576
1.183333	0.200	0.688639
1.186667	0.200	0.275622
1.190000	0.200	-0.049691
1.193333	0.200	-0.303546
1.196667	0.200	-0.497466
1.200000	0.200	-0.637610
1.203333	0.200	-0.725033
1.206667	0.200	-0.756718
1.210000	0.200	-0.728219
1.213333	0.200	-0.638888
1.216667	0.200	-0.497260
1.220000	0.200	-0.323123
1.223333	0.200	-0.145639
1.226667	0.200	0.001696
1.230000	0.200	0.088815
1.233333	0.200	0.097659
1.236667	0.200	0.027141
1.240000	0.200	-0.108239
1.243333	0.200	-0.284055
1.246667	0.200	-0.472827
1.250000	0.200	-0.650600
1.253333	0.200	-0.801547
1.256667	0.200	-0.919070
1.260000	0.200	-1.003686
1.263333	0.200	-1.059003
1.266667	0.200	-1.087366
1.270000	0.200	-1.086634
1.273333	0.200	-1.049088
1.276667	0.200	-0.963299
1.280000	0.200	-0.819699
1.283333	0.200	-0.619391
1.286667	0.200	-0.382173
1.290000	0.200	-0.147147
1.293333	0.200	0.037112
1.296667	0.200	0.129164
1.300000	0.200	0.110477
1.303333	0.200	-0.007730
1.306667	0.200	-0.190206
1.310000	0.200	-0.392205
1.313333	0.200	-0.574792
1.316667	0.200	-0.714143
1.320000	0.200	-0.803185
1.323333	0.200	-0.847871
1.326667	0.200	-0.861225
1.330000	0.200	-0.858033
1.333333	0.200	-0.850935
1.336667	0.200	-0.847886
1.340000	0.200	-0.852187
1.343333	0.200	-0.864408
1.346667	0.200	-0.883729
1.350000	0.200	-0.908316
1.353333	0.200	-0.935947
1.356667	0.200	-0.964799
1.360000	0.200	-0.993847
1.363333	0.200	-1.022823
1.366667	0.200	-1.051406
1.370000	0.200	-1.078395
1.373333	0.200	-1.102401
1.376667	0.200	-1.123160
1.380000	0.200	-1.141536
1.383333	0.200	-1.158612
1.386667	0.200	-1.175214
1.390000	0.200	-1.191898
1.393333	0.200	-1.208899
1.396667	0.200	-1.225892
1.400000	0.200	-1.242028
1.403333	0.200	-1.256567
1.406667	0.200	-1.269463
1.410000	0.200	-1.281069
1.413333	0.200	-1.291413
1.416667	0.200	-1.300260
1.420000	0.200	-1.307793
1.423333	0.200	-1.314764
1.426667	0.200	-1.322011
1.430000	0.200	-1.329959
1.433333	0.200	-1.338358
1.436667	0.200	-1.346373
1.440000	0.200	-1.353421
1.443333	0.200	-1.360075
1.446667	0.200	-1.367566
1.450000	0.200	-1.376176
1.453333	0.200	-1.384563
1.456667	0.200	-1.390965
1.460000	0.200	-1.394555
1.463333	0.200	-1.395324
1.466667	0.200	-1.393704
1.470000	0.200	-1.390815
1.473333	0.200	-1.388135
1.476667	0.200	-1.386427
1.480000	0.200	-1.385136
1.483333	0.200	-1.383201
1.486667	0.200	-1.380364
1.490000	0.200	-1.377112
1.493333	0.200	-1.373772
1.496667	0.200	-1.370284
1.500000	0.200	-1.366611
1.503333	0.200	-1.362911
1.506667	0.200	-1.359096
1.510000	0.200	-1.354745
1.513333	0.200	-1.349918
1.516667	0.200	-1.345415
1.520000	0.200	-1.341836
1.523333	0.200	-1.338870
1.526667	0.200	-1.335676
1.530000	0.200	-1.331941
1.533333	0.200	-1.328340
1.536667	0.200	-1.325706
1.540000	0.200	-1.324154
1.543333	0.200	-1.323382
1.546667	0.200	-1.323158
1.550000	0.200	-1.323247
1.553333	0.200	-1.323407
1.556667	0.200	-1.323336
1.560000	0.200	-1.322541
1.563333	0.200	-1.320757
1.566667	0.200	-1.318484
1.570000	0.200	-1.317008
1.573333	0.200	-1.317691
1.576667	0.200	-1.320794
1.580000	0.200	-1.325101
1.583333	0.200	-1.328987
1.586667	0.200	-1.331868
1.590000	0.200	-1.334445
1.593333	0.200	-1.337720
1.596667	0.200	-1.342150
1.600000	0.200	-1.347411
1.603333	0.200	-1.352618
1.606667	0.200	-1.357210
1.610000	0.200	-1.361349
1.613333	0.200	-1.365131
1.616667	0.200	-1.368278
1.620000	0.200	-1.370715
1.623333	0.200	-1.372573
1.626667	0.200	-1.373901
1.630000	0.200	-1.374983
1.633333	0.200	-1.376407
1.636667	0.200	-1.378452
1.640000	0.200	-1.381036
1.643333	0.200	-1.384002
1.646667	0.200	-1.386969
1.650000	0.200	-1.389455
1.653333	0.200	-1.391161
1.656667	0.200	-1.391863
1.660000	0.200	-1.391480
1.663333	0.200	-1.390284
1.666667	0.200	-1.388774
1.670000	0.200	-1.387433
1.673333	0.200	-1.386539
1.676667	0.200	-1.386056
1.680000	0.200	-1.385704
1.683333	0.200	-1.385215
1.686667	0.200	-1.384486
1.690000	0.200	-1.383553
1.693333	0.200	-1.382471
1.696667	0.200	-1.381183
1.700000	0.200	-1.379690
1.703333	0.200	-1.378273
1.706667	0.200	-1.377519
1.710000	0.200	-1.378042
1.713333	0.200	-1.379741
1.716667	0.200	-1.381494
1.720000	0.200	-1.381935
1.723333	0.200	-1.380501
1.726667	0.200	-1.377798
1.730000	0.200	-1.375007
1.733333	0.200	-1.373034
1.736667	0.200	-1.372138
1.740000	0.200	-1.372199
1.743333	0.200	-1.373155
1.746667	0.200	-1.374851
1.750000	0.200	-1.376605
1.753333	0.200	-1.377565
1.756667	0.200	-1.377716
1.760000	0.200	-1.377905
1.763333	0.200	-1.378558
1.766667	0.200	-1.379027
1.770000	0.200	-1.378475
1.773333	0.200	-1.376776
1.776667	0.200	-1.374547
1.780000	0.200	-1.372433
1.783333	0.200	-1.370063
1.786667	0.200	-1.366205
1.790000	0.200	-1.360188
1.793333	0.200	-1.352501
1.796667	0.200	-1.344091
1.800000	0.200	-1.335445
1.803333	0.200	-1.325953
1.806667	0.200	-1.313651
1.810000	0.200	-1.295527
1.813333	0.200	-1.268291
1.816667	0.200	-1.229417
1.820000	0.200	-1.178162
1.823333	0.200	-1.115897
1.826667	0.200	-1.045743
1.830000	0.200	-0.972249
1.833333	0.200	-0.900860
1.836667	0.200	-0.836766
1.840000	0.200	-0.784009
1.843333	0.200	-0.745275
1.846667	0.200	-0.721854
1.850000	0.200	-0.713674
1.853333	0.200	-0.719400
1.856667	0.200	-0.736158
1.860000	0.200	-0.759771
1.863333	0.200	-0.786114
1.866667	0.200	-0.812093
1.870000	0.200	-0.835657
1.873333	0.200	-0.855770
1.876667	0.200	-0.872501
1.880000	0.200	-0.887136
1.883333	0.200	-0.901947
1.886667	0.200	-0.919206
1.890000	0.200	-0.940253
1.893333	0.200	-0.965544
1.896667	0.200	-0.995087
1.900000	0.200	-1.028368
1.903333	0.200	-1.064199
1.906667	0.200	-1.100945
1.910000	0.200	-1.136909
1.913333	0.200	-1.170859
1.916667	0.200	-1.202360
1.920000	0.200	-1.231475
1.923333	0.200	-1.258132
1.926667	0.200	-1.281944
1.930000	0.200	-1.302565
1.933333	0.200	-1.319780
1.936667	0.200	-1.333298
1.940000	0.200	-1.343073
1.943333	0.200	-1.349820
1.946667	0.200	-1.354814
1.950000	0.200	-1.359270
1.953333	0.200	-1.363777
1.956667	0.200	-1.368002
1.960000	0.200	-1.371332
1.963333	0.200	-1.373722
1.966667	0.200	-1.375505
1.970000	0.200	-1.376739
1.973333	0.200	-1.376900
1.976667	0.200	-1.374892
1.980000	0.200	-1.369592
1.983333	0.200	-1.360499
1.986667	0.200	-1.347340
1.990000	0.200	-1.329162
1.993333	0.200	-1.304302
1.996667	0.200	-1.270980
2.000000	0.200	-1.227941
2.003333	0.200	-1.175405
2.006667	0.200	-1.115297
2.010000	0.200	-1.050121
2.013333	0.200	-0.982396
2.016667	0.200	-0.915212
2.020000	0.200	-0.852373
2.023333	0.200	-0.798111
2.026667	0.200	-0.756719
2.030000	0.200	-0.731714
2.033333	0.200	-0.724950
2.036667	0.200	-0.736355
2.040000	0.200	-0.764270
2.043333	0.200	-0.805979
2.046667	0.200	-0.857835
2.050000	0.200	-0.915357
2.053333	0.200	-0.974307
2.056667	0.200	-1.031692
2.060000	0.200	-1.085508
2.063333	0.200	-1.134263
2.066667	0.200	-1.176970
2.070000	0.200	-1.213306
2.073333	0.200	-1.243456
2.076667	0.200	-1.267637
2.080000	0.200	-1.286178
2.083333	0.200	-1.300019
2.086667	0.200	-1.310588
2.090000	0.200	-1.319391
2.093333	0.200	-1.327603
2.096667	0.200	-1.335394
2.100000	0.200	-1.341987
2.103333	0.200	-1.346756
2.106667	0.200	-1.349931
2.110000	0.200	-1.352308
2.113333	0.200	-1.354658
2.116667	0.200	-1.357292
2.120000	0.200	-1.359661
2.123333	0.200	-1.360662
2.126667	0.200	-1.359679
2.130000	0.200	-1.356832
2.133333	0.200	-1.352504
2.136667	0.200	-1.347413
2.140000	0.200	-1.342564
2.143333	0.200	-1.338433
2.146667	0.200	-1.334669
2.150000	0.200	-1.330821
2.153333	0.200	-1.326798
2.156667	0.200	-1.320991
2.160000	0.200	-1.306919
2.163333	0.200	-1.275045
2.166667	0.200	-1.221445
2.170000	0.200	-1.153113
2.173333	0.200	-1.083618
2.176667	0.200	-1.025187
2.180000	0.200	-0.983993
2.183333	0.200	-0.959726
2.186667	0.200	-0.948137
2.190000	0.200	-0.944387
2.193333	0.200	-0.944809
2.196667	0.200	-0.946901
2.200000	0.200	-0.949195
2.203333	0.200	-0.951178
2.206667	0.200	-0.952487
2.210000	0.200	-0.952499
2.213333	0.200	-0.950961
2.216667	0.200	-0.948205
2.220000	0.200	-0.944725
2.223333	0.200	-0.941141
2.226667	0.200	-0.938128
2.230000	0.200	-0.935939
2.233333	0.200	-0.934205
2.236667	0.200	-0.932119
2.240000	0.200	-0.928526
2.243333	0.200	-0.921760
2.246667	0.200	-0.909414
2.250000	0.200	-0.888765
2.253333	0.200	-0.858055
2.256667	0.200	-0.817308
2.260000	0.200	-0.768886
2.263333	0.200	-0.718895
2.266667	0.200	-0.677647
2.270000	0.200	-0.656870
2.273333	0.200	-0.664760
2.276667	0.200	-0.702055
2.280000	0.200	-0.761487
2.283333	0.200	-0.830713
2.286667	0.200	-0.896768
2.290000	0.200	-0.949836
2.293333	0.200	-0.985137
2.296667	0.200	-1.002556
2.300000	0.200	-1.005116
2.303333	0.200	-0.997429
2.306667	0.200	-0.984338
2.310000	0.200	-0.970185
2.313333	0.200	-0.958184
2.316667	0.200	-0.949305
2.320000	0.200	-0.942587
2.323333	0.200	-0.937097
2.326667	0.200	-0.932548
2.330000	0.200	-0.928300
2.333333	0.200	-0.923321
2.336667	0.200	-0.917447
2.340000	0.200	-0.911682
2.343333	0.200	-0.906837
2.346667	0.200	-0.902786
2.350000	0.200	-0.899227
2.353333	0.200	-0.896136
2.356667	0.200	-0.893535
2.360000	0.200	-0.891545
2.363333	0.200	-0.890470
2.366667	0.200	-0.890479
2.370000	0.200	-0.891512
2.373333	0.200	-0.893294
2.376667	0.200	-0.895208
2.380000	0.200	-0.896582
2.383333	0.200	-0.897062
2.386667	0.200	-0.896499
2.390000	0.200	-0.895141
2.393333	0.200	-0.893760
2.396667	0.200	-0.892845
2.400000	0.200	-0.892069
2.403333	0.200	-0.890794
2.406667	0.200	-0.888956
2.410000	0.200	-0.887337
2.413333	0.200	-0.886779
2.416667	0.200	-0.887479
2.420000	0.200	-0.889088
2.423333	0.200	-0.890873
2.426667	0.200	-0.891877
2.430000	0.200	-0.891753
2.433333	0.200	-0.891364
2.436667	0.200	-0.891850
2.440000	0.200	-0.893394
2.443333	0.200	-0.895310
2.446667	0.200	-0.896931
2.450000	0.200	-0.898066
2.453333	0.200	-0.898877
2.456667	0.200	-0.899675
2.460000	0.200	-0.900717
2.463333	0.200	-0.902076
2.466667	0.200	-0.903558
2.470000	0.200	-0.904571
2.473333	0.200	-0.904565
2.476667	0.200	-0.903517
2.480000	0.200	-0.901473
2.483333	0.200	-0.898367
2.486667	0.200	-0.894666
2.490000	0.200	-0.891215
2.493333	0.200	-0.888377
2.496667	0.200	-0.886080
2.500000	0.200	-0.884529
2.503333	0.200	-0.884204
2.506667	0.200	-0.885099
2.510000	0.200	-0.886536
2.513333	0.200	-0.887924
