File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/846.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	500 ug/ml HIGH ISO
Injection Number	92
Position	RC11
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:05:11 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.923986
Signal Max.	185.985748
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.500000	0.200	-0.763497
0.503333	0.200	-0.765240
0.506667	0.200	-0.765911
0.510000	0.200	-0.765780
0.513333	0.200	-0.765373
0.516667	0.200	-0.765274
0.520000	0.200	-0.765974
0.523333	0.200	-0.767658
0.526667	0.200	-0.770282
0.530000	0.200	-0.773694
0.533333	0.200	-0.777311
0.536667	0.200	-0.780106
0.540000	0.200	-0.781682
0.543333	0.200	-0.782806
0.546667	0.200	-0.784376
0.550000	0.200	-0.786480
0.553333	0.200	-0.788750
0.556667	0.200	-0.791017
0.560000	0.200	-0.793266
0.563333	0.200	-0.795423
0.566667	0.200	-0.797328
0.570000	0.200	-0.798755
0.573333	0.200	-0.799543
0.576667	0.200	-0.799764
0.580000	0.200	-0.799597
0.583333	0.200	-0.799166
0.586667	0.200	-0.798788
0.590000	0.200	-0.799023
0.593333	0.200	-0.800173
0.596667	0.200	-0.802211
0.600000	0.200	-0.805120
0.603333	0.200	-0.808745
0.606667	0.200	-0.812568
0.610000	0.200	-0.815688
0.613333	0.200	-0.817131
0.616667	0.200	-0.816653
0.620000	0.200	-0.815175
0.623333	0.200	-0.814162
0.626667	0.200	-0.814506
0.630000	0.200	-0.816044
0.633333	0.200	-0.818188
0.636667	0.200	-0.820657
0.640000	0.200	-0.823401
0.643333	0.200	-0.826409
0.646667	0.200	-0.829714
0.650000	0.200	-0.833047
0.653333	0.200	-0.835673
0.656667	0.200	-0.836905
0.660000	0.200	-0.836749
0.663333	0.200	-0.836351
0.666667	0.200	-0.837584
0.670000	0.200	-0.841553
0.673333	0.200	-0.847574
0.676667	0.200	-0.853804
0.680000	0.200	-0.858592
0.683333	0.200	-0.861042
0.686667	0.200	-0.861001
0.690000	0.200	-0.859278
0.693333	0.200	-0.857319
0.696667	0.200	-0.856106
0.700000	0.200	-0.855656
0.703333	0.200	-0.855623
0.706667	0.200	-0.855930
0.710000	0.200	-0.856550
0.713333	0.200	-0.857254
0.716667	0.200	-0.858016
0.720000	0.200	-0.859062
0.723333	0.200	-0.860243
0.726667	0.200	-0.860824
0.730000	0.200	-0.860003
0.733333	0.200	-0.857677
0.736667	0.200	-0.854839
0.740000	0.200	-0.852968
0.743333	0.200	-0.853118
0.746667	0.200	-0.855756
0.750000	0.200	-0.860501
0.753333	0.200	-0.865877
0.756667	0.200	-0.870212
0.760000	0.200	-0.872639
0.763333	0.200	-0.873050
0.766667	0.200	-0.871819
0.770000	0.200	-0.869843
0.773333	0.200	-0.868173
0.776667	0.200	-0.867384
0.780000	0.200	-0.867459
0.783333	0.200	-0.868069
0.786667	0.200	-0.868967
0.790000	0.200	-0.870309
0.793333	0.200	-0.872632
0.796667	0.200	-0.876514
0.800000	0.200	-0.881954
0.803333	0.200	-0.887757
0.806667	0.200	-0.891867
0.810000	0.200	-0.892761
0.813333	0.200	-0.890465
0.816667	0.200	-0.886357
0.820000	0.200	-0.882559
0.823333	0.200	-0.881047
0.826667	0.200	-0.882650
0.830000	0.200	-0.886890
0.833333	0.200	-0.892524
0.836667	0.200	-0.897995
0.840000	0.200	-0.901928
0.843333	0.200	-0.904107
0.846667	0.200	-0.905769
0.850000	0.200	-0.908426
0.853333	0.200	-0.912629
0.856667	0.200	-0.917653
0.860000	0.200	-0.921934
0.863333	0.200	-0.923986
0.866667	0.200	-0.922967
0.870000	0.200	-0.918612
0.873333	0.200	-0.910862
0.876667	0.200	-0.898584
0.880000	0.200	-0.877663
0.883333	0.200	-0.840795
0.886667	0.200	-0.780768
0.890000	0.200	-0.695152
0.893333	0.200	-0.587820
0.896667	0.200	-0.466568
0.900000	0.200	-0.340207
0.903333	0.200	-0.216931
0.906667	0.200	-0.103638
