File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/390.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	10 ug/ml ISO
Injection Number	87
Position	RC6
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:06:56 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.004634
Signal Max.	33.062744
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002190
0.006667	0.200	-0.015501
0.010000	0.200	-0.051142
0.013333	0.200	-0.106504
0.016667	0.200	-0.160853
0.020000	0.200	-0.192119
0.023333	0.200	-0.192445
0.026667	0.200	-0.168653
0.030000	0.200	-0.134673
0.033333	0.200	-0.103385
0.036667	0.200	-0.081421
0.040000	0.200	-0.069472
0.043333	0.200	-0.065807
0.046667	0.200	-0.068560
0.050000	0.200	-0.076162
0.053333	0.200	-0.087297
0.056667	0.200	-0.100728
0.060000	0.200	-0.115131
0.063333	0.200	-0.129361
0.066667	0.200	-0.142815
0.070000	0.200	-0.155299
0.073333	0.200	-0.166820
0.076667	0.200	-0.177475
0.080000	0.200	-0.187341
0.083333	0.200	-0.196539
0.086667	0.200	-0.205250
0.090000	0.200	-0.213561
0.093333	0.200	-0.221643
0.096667	0.200	-0.229830
0.100000	0.200	-0.238024
0.103333	0.200	-0.245622
0.106667	0.200	-0.252535
0.110000	0.200	-0.259478
0.113333	0.200	-0.266960
0.116667	0.200	-0.274808
0.120000	0.200	-0.282843
0.123333	0.200	-0.291297
0.126667	0.200	-0.300387
0.130000	0.200	-0.309884
0.133333	0.200	-0.319297
0.136667	0.200	-0.328307
0.140000	0.200	-0.336800
0.143333	0.200	-0.344651
0.146667	0.200	-0.351583
0.150000	0.200	-0.357218
0.153333	0.200	-0.361477
0.156667	0.200	-0.365055
0.160000	0.200	-0.369257
0.163333	0.200	-0.375089
0.166667	0.200	-0.382620
0.170000	0.200	-0.391194
0.173333	0.200	-0.399890
0.176667	0.200	-0.407858
0.180000	0.200	-0.414639
0.183333	0.200	-0.420315
0.186667	0.200	-0.425266
0.190000	0.200	-0.429698
0.193333	0.200	-0.433636
0.196667	0.200	-0.437458
0.200000	0.200	-0.442020
0.203333	0.200	-0.447946
0.206667	0.200	-0.455075
0.210000	0.200	-0.462805
0.213333	0.200	-0.470395
0.216667	0.200	-0.476920
0.220000	0.200	-0.481663
0.223333	0.200	-0.484648
0.226667	0.200	-0.486722
0.230000	0.200	-0.489104
0.233333	0.200	-0.492437
0.236667	0.200	-0.496407
0.240000	0.200	-0.500422
0.243333	0.200	-0.503995
0.246667	0.200	-0.506632
0.250000	0.200	-0.508319
0.253333	0.200	-0.509967
0.256667	0.200	-0.512702
0.260000	0.200	-0.516766
0.263333	0.200	-0.521353
0.266667	0.200	-0.525542
0.270000	0.200	-0.529118
0.273333	0.200	-0.532364
0.276667	0.200	-0.535311
0.280000	0.200	-0.537464
0.283333	0.200	-0.537963
0.286667	0.200	-0.535806
0.290000	0.200	-0.530446
0.293333	0.200	-0.522628
0.296667	0.200	-0.514566
0.300000	0.200	-0.508737
0.303333	0.200	-0.506265
0.306667	0.200	-0.506688
0.310000	0.200	-0.508856
0.313333	0.200	-0.511831
0.316667	0.200	-0.515367
0.320000	0.200	-0.519602
0.323333	0.200	-0.524256
0.326667	0.200	-0.528610
0.330000	0.200	-0.532304
0.333333	0.200	-0.535507
0.336667	0.200	-0.538396
0.340000	0.200	-0.540927
0.343333	0.200	-0.542868
0.346667	0.200	-0.543895
0.350000	0.200	-0.544061
0.353333	0.200	-0.544254
0.356667	0.200	-0.545718
0.360000	0.200	-0.549106
0.363333	0.200	-0.554077
0.366667	0.200	-0.559482
0.370000	0.200	-0.563994
0.373333	0.200	-0.566825
0.376667	0.200	-0.568090
0.380000	0.200	-0.568760
0.383333	0.200	-0.570181
0.386667	0.200	-0.573252
0.390000	0.200	-0.577771
0.393333	0.200	-0.582457
0.396667	0.200	-0.585866
0.400000	0.200	-0.587668
0.403333	0.200	-0.589030
0.406667	0.200	-0.591523
0.410000	0.200	-0.595539
0.413333	0.200	-0.599880
0.416667	0.200	-0.603127
0.420000	0.200	-0.605046
0.423333	0.200	-0.606136
0.426667	0.200	-0.606722
0.430000	0.200	-0.607380
0.433333	0.200	-0.609128
0.436667	0.200	-0.612495
0.440000	0.200	-0.617211
0.443333	0.200	-0.622655
0.446667	0.200	-0.627914
0.450000	0.200	-0.631788
0.453333	0.200	-0.633538
0.456667	0.200	-0.633609
0.460000	0.200	-0.633185
0.463333	0.200	-0.633239
0.466667	0.200	-0.634063
0.470000	0.200	-0.635208
0.473333	0.200	-0.636032
0.476667	0.200	-0.636632
0.480000	0.200	-0.637934
0.483333	0.200	-0.640534
0.486667	0.200	-0.643967
0.490000	0.200	-0.647316
0.493333	0.200	-0.649902
0.496667	0.200	-0.651547
0.500000	0.200	-0.652768
0.503333	0.200	-0.654333
0.506667	0.200	-0.656370
0.510000	0.200	-0.658285
0.513333	0.200	-0.659595
0.516667	0.200	-0.660562
0.520000	0.200	-0.661977
0.523333	0.200	-0.664403
0.526667	0.200	-0.667679
0.530000	0.200	-0.671171
0.533333	0.200	-0.674057
0.536667	0.200	-0.675525
0.540000	0.200	-0.675458
0.543333	0.200	-0.674870
0.546667	0.200	-0.675160
0.550000	0.200	-0.676815
0.553333	0.200	-0.679034
0.556667	0.200	-0.680735
0.560000	0.200	-0.681523
0.563333	0.200	-0.681637
0.566667	0.200	-0.681586
0.570000	0.200	-0.681913
0.573333	0.200	-0.682864
0.576667	0.200	-0.684277
0.580000	0.200	-0.685947
0.583333	0.200	-0.688024
0.586667	0.200	-0.690816
0.590000	0.200	-0.694199
0.593333	0.200	-0.697600
0.596667	0.200	-0.700562
0.600000	0.200	-0.702888
0.603333	0.200	-0.704366
0.606667	0.200	-0.704920
0.610000	0.200	-0.704995
0.613333	0.200	-0.705370
0.616667	0.200	-0.706599
0.620000	0.200	-0.708705
0.623333	0.200	-0.711236
0.626667	0.200	-0.713468
0.630000	0.200	-0.714819
0.633333	0.200	-0.715405
