File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/725.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	5000 ug/ml HIGH
Injection Number	96
Position	RB6
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:51:56 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.994987
Signal Max.	1,453.496068
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.500000	0.200	-0.762078
0.503333	0.200	-0.765579
0.506667	0.200	-0.767959
0.510000	0.200	-0.769244
0.513333	0.200	-0.769907
0.516667	0.200	-0.770418
0.520000	0.200	-0.771088
0.523333	0.200	-0.771928
0.526667	0.200	-0.772707
0.530000	0.200	-0.773421
0.533333	0.200	-0.774424
0.536667	0.200	-0.776028
0.540000	0.200	-0.778068
0.543333	0.200	-0.779925
0.546667	0.200	-0.781273
0.550000	0.200	-0.782549
0.553333	0.200	-0.784275
0.556667	0.200	-0.786340
0.560000	0.200	-0.788355
0.563333	0.200	-0.790374
0.566667	0.200	-0.792882
0.570000	0.200	-0.796027
0.573333	0.200	-0.799118
0.576667	0.200	-0.801227
0.580000	0.200	-0.802078
0.583333	0.200	-0.802195
0.586667	0.200	-0.802462
0.590000	0.200	-0.803400
0.593333	0.200	-0.804672
0.596667	0.200	-0.805566
0.600000	0.200	-0.805882
0.603333	0.200	-0.805996
0.606667	0.200	-0.806294
0.610000	0.200	-0.806906
0.613333	0.200	-0.807821
0.616667	0.200	-0.808941
0.620000	0.200	-0.810031
0.623333	0.200	-0.810954
0.626667	0.200	-0.811969
0.630000	0.200	-0.813420
0.633333	0.200	-0.815421
0.636667	0.200	-0.817963
0.640000	0.200	-0.820836
0.643333	0.200	-0.823456
0.646667	0.200	-0.825059
0.650000	0.200	-0.825297
0.653333	0.200	-0.824615
0.656667	0.200	-0.823852
0.660000	0.200	-0.823650
0.663333	0.200	-0.824431
0.666667	0.200	-0.826420
0.670000	0.200	-0.829190
0.673333	0.200	-0.831684
0.676667	0.200	-0.833142
0.680000	0.200	-0.833800
0.683333	0.200	-0.834512
0.686667	0.200	-0.835663
0.690000	0.200	-0.836739
0.693333	0.200	-0.837128
0.696667	0.200	-0.836747
0.700000	0.200	-0.835816
0.703333	0.200	-0.834764
0.706667	0.200	-0.834388
0.710000	0.200	-0.835516
0.713333	0.200	-0.838256
0.716667	0.200	-0.841847
0.720000	0.200	-0.845412
0.723333	0.200	-0.848618
0.726667	0.200	-0.851560
0.730000	0.200	-0.854331
0.733333	0.200	-0.856739
0.736667	0.200	-0.858259
0.740000	0.200	-0.858411
0.743333	0.200	-0.857141
0.746667	0.200	-0.855177
0.750000	0.200	-0.853995
0.753333	0.200	-0.854598
0.756667	0.200	-0.856510
0.760000	0.200	-0.858433
0.763333	0.200	-0.859616
0.766667	0.200	-0.860346
0.770000	0.200	-0.861155
0.773333	0.200	-0.862234
0.776667	0.200	-0.863787
0.780000	0.200	-0.866061
0.783333	0.200	-0.869012
0.786667	0.200	-0.872529
0.790000	0.200	-0.876539
0.793333	0.200	-0.880563
0.796667	0.200	-0.883752
0.800000	0.200	-0.885570
0.803333	0.200	-0.886108
0.806667	0.200	-0.885843
0.810000	0.200	-0.885242
0.813333	0.200	-0.884624
0.816667	0.200	-0.884393
0.820000	0.200	-0.885111
0.823333	0.200	-0.887191
0.826667	0.200	-0.890850
0.830000	0.200	-0.896318
0.833333	0.200	-0.903300
0.836667	0.200	-0.910325
0.840000	0.200	-0.915707
0.843333	0.200	-0.919174
0.846667	0.200	-0.921782
0.850000	0.200	-0.924583
0.853333	0.200	-0.927991
0.856667	0.200	-0.931906
0.860000	0.200	-0.935751
0.863333	0.200	-0.938600
0.866667	0.200	-0.939597
0.870000	0.200	-0.938315
0.873333	0.200	-0.934628
0.876667	0.200	-0.927736
0.880000	0.200	-0.914654
0.883333	0.200	-0.889896
0.886667	0.200	-0.847615
0.890000	0.200	-0.785050
0.893333	0.200	-0.704907
0.896667	0.200	-0.615379
0.900000	0.200	-0.527771
0.903333	0.200	-0.452630
0.906667	0.200	-0.396056
0.910000	0.200	-0.358218
0.913333	0.200	-0.334981
0.916667	0.200	-0.321000
0.920000	0.200	-0.312275
0.923333	0.200	-0.307575
0.926667	0.200	-0.307894
0.930000	0.200	-0.314304
0.933333	0.200	-0.326512
0.936667	0.200	-0.342509
0.940000	0.200	-0.358472
0.943333	0.200	-0.369496
0.946667	0.200	-0.370965
0.950000	0.200	-0.359468
0.953333	0.200	-0.333696
0.956667	0.200	-0.295581
0.960000	0.200	-0.250631
0.963333	0.200	-0.206881
0.966667	0.200	-0.173031
0.970000	0.200	-0.156290
0.973333	0.200	-0.160221
0.976667	0.200	-0.183722
0.980000	0.200	-0.222072
0.983333	0.200	-0.269315
0.986667	0.200	-0.320363
0.990000	0.200	-0.371726
0.993333	0.200	-0.421145
0.996667	0.200	-0.467184
1.000000	0.200	-0.509036
1.003333	0.200	-0.546514
1.006667	0.200	-0.580032
1.010000	0.200	-0.610313
1.013333	0.200	-0.638058
1.016667	0.200	-0.663681
1.020000	0.200	-0.686894
1.023333	0.200	-0.706805
1.026667	0.200	-0.722812
1.030000	0.200	-0.735226
1.033333	0.200	-0.745062
1.036667	0.200	-0.753557
1.040000	0.200	-0.761498
1.043333	0.200	-0.768646
1.046667	0.200	-0.774043
1.050000	0.200	-0.776983
1.053333	0.200	-0.777690
1.056667	0.200	-0.776860
1.060000	0.200	-0.774568
1.063333	0.200	-0.769673
1.066667	0.200	-0.759580
1.070000	0.200	-0.739958
1.073333	0.200	-0.703797
1.076667	0.200	-0.638503
1.080000	0.200	-0.520498
1.083333	0.200	-0.305668
1.086667	0.200	0.089730
1.090000	0.200	0.820828
1.093333	0.200	2.145167
1.096667	0.200	4.413092
1.100000	0.200	7.969244
1.103333	0.200	12.959514
1.106667	0.200	19.119402
1.110000	0.200	25.677804
1.113333	0.200	31.485532
1.116667	0.200	35.362079
1.120000	0.200	36.511126
1.123333	0.200	34.794431
1.126667	0.200	30.734086
1.130000	0.200	25.272656
1.133333	0.200	19.436764
1.136667	0.200	14.057897
1.140000	0.200	9.633864
1.143333	0.200	6.330192
1.146667	0.200	4.068255
1.150000	0.200	2.638691
1.153333	0.200	1.797772
1.156667	0.200	1.328534
1.160000	0.200	1.067167
1.163333	0.200	0.904833
1.166667	0.200	0.777062
1.170000	0.200	0.650791
1.173333	0.200	0.513500
1.176667	0.200	0.364566
1.180000	0.200	0.209174
1.183333	0.200	0.054539
1.186667	0.200	-0.092439
1.190000	0.200	-0.226093
1.193333	0.200	-0.341968
1.196667	0.200	-0.436463
1.200000	0.200	-0.506428
1.203333	0.200	-0.548687
1.206667	0.200	-0.559553
1.210000	0.200	-0.535370
1.213333	0.200	-0.474380
1.216667	0.200	-0.378999
1.220000	0.200	-0.258278
1.223333	0.200	-0.129319
1.226667	0.200	-0.014956
1.230000	0.200	0.062387
1.233333	0.200	0.087183
1.236667	0.200	0.054755
1.240000	0.200	-0.028220
1.243333	0.200	-0.146421
1.246667	0.200	-0.280591
1.250000	0.200	-0.412520
1.253333	0.200	-0.528544
1.256667	0.200	-0.621182
1.260000	0.200	-0.689275
1.263333	0.200	-0.735868
1.266667	0.200	-0.763790
1.270000	0.200	-0.771819
1.273333	0.200	-0.753947
1.276667	0.200	-0.701476
1.280000	0.200	-0.607123
1.283333	0.200	-0.470712
1.286667	0.200	-0.304632
1.290000	0.200	-0.135232
1.293333	0.200	0.003127
1.296667	0.200	0.079809
1.300000	0.200	0.079023
1.303333	0.200	0.004641
1.306667	0.200	-0.122597
1.310000	0.200	-0.273400
1.313333	0.200	-0.419853
1.316667	0.200	-0.542649
1.320000	0.200	-0.633380
1.323333	0.200	-0.692910
1.326667	0.200	-0.728011
1.330000	0.200	-0.747384
1.333333	0.200	-0.758252
1.336667	0.200	-0.765079
1.340000	0.200	-0.770087
1.343333	0.200	-0.773998
1.346667	0.200	-0.776732
1.350000	0.200	-0.778170
1.353333	0.200	-0.778621
1.356667	0.200	-0.778568
1.360000	0.200	-0.778017
1.363333	0.200	-0.776801
1.366667	0.200	-0.775505
1.370000	0.200	-0.775310
1.373333	0.200	-0.776987
1.376667	0.200	-0.780393
1.380000	0.200	-0.784958
1.383333	0.200	-0.790301
1.386667	0.200	-0.796213
1.390000	0.200	-0.802503
1.393333	0.200	-0.809116
1.396667	0.200	-0.816159
1.400000	0.200	-0.823647
1.403333	0.200	-0.831412
1.406667	0.200	-0.839359
1.410000	0.200	-0.847569
1.413333	0.200	-0.856034
1.416667	0.200	-0.864629
1.420000	0.200	-0.873372
1.423333	0.200	-0.882328
1.426667	0.200	-0.891240
1.430000	0.200	-0.899519
1.433333	0.200	-0.906608
1.436667	0.200	-0.912326
1.440000	0.200	-0.917242
1.443333	0.200	-0.922722
1.446667	0.200	-0.929992
1.450000	0.200	-0.939153
1.453333	0.200	-0.949122
1.456667	0.200	-0.958252
1.460000	0.200	-0.965317
1.463333	0.200	-0.970092
1.466667	0.200	-0.972893
1.470000	0.200	-0.974034
1.473333	0.200	-0.973876
