File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/799.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	0,5 ug/ml ISO
Injection Number	83
Position	RC2
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	6:20:12 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.006151
Signal Max.	44.913776
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002405
0.006667	0.200	-0.016751
0.010000	0.200	-0.054339
0.013333	0.200	-0.111306
0.016667	0.200	-0.165359
0.020000	0.200	-0.193848
0.023333	0.200	-0.189483
0.026667	0.200	-0.160574
0.030000	0.200	-0.122668
0.033333	0.200	-0.089724
0.036667	0.200	-0.068885
0.040000	0.200	-0.060337
0.043333	0.200	-0.060893
0.046667	0.200	-0.067281
0.050000	0.200	-0.077010
0.053333	0.200	-0.088347
0.056667	0.200	-0.100586
0.060000	0.200	-0.113871
0.063333	0.200	-0.128264
0.066667	0.200	-0.143028
0.070000	0.200	-0.156949
0.073333	0.200	-0.169292
0.076667	0.200	-0.180199
0.080000	0.200	-0.190202
0.083333	0.200	-0.199687
0.086667	0.200	-0.208860
0.090000	0.200	-0.217917
0.093333	0.200	-0.227142
0.096667	0.200	-0.236784
0.100000	0.200	-0.246767
0.103333	0.200	-0.256728
0.106667	0.200	-0.266224
0.110000	0.200	-0.274900
0.113333	0.200	-0.282748
0.116667	0.200	-0.290207
0.120000	0.200	-0.297781
0.123333	0.200	-0.305552
0.126667	0.200	-0.313618
0.130000	0.200	-0.322671
0.133333	0.200	-0.333168
0.136667	0.200	-0.344537
0.140000	0.200	-0.355708
0.143333	0.200	-0.365730
0.146667	0.200	-0.373961
0.150000	0.200	-0.380359
0.153333	0.200	-0.385502
0.156667	0.200	-0.390291
0.160000	0.200	-0.395687
0.163333	0.200	-0.402193
0.166667	0.200	-0.409502
0.170000	0.200	-0.417121
0.173333	0.200	-0.424999
0.176667	0.200	-0.433051
0.180000	0.200	-0.440471
0.183333	0.200	-0.446235
0.186667	0.200	-0.450338
0.190000	0.200	-0.453996
0.193333	0.200	-0.458555
0.196667	0.200	-0.464382
0.200000	0.200	-0.470750
