File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/952.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA4
Injection Number	25
Position	GA4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:03:21 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882378
Signal Max.	246.138505
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.586667	0.200	-0.784182
0.590000	0.200	-0.785008
0.593333	0.200	-0.787300
0.596667	0.200	-0.790975
0.600000	0.200	-0.794834
0.603333	0.200	-0.797686
0.606667	0.200	-0.799113
0.610000	0.200	-0.799368
0.613333	0.200	-0.799043
0.616667	0.200	-0.798520
0.620000	0.200	-0.797790
0.623333	0.200	-0.797127
0.626667	0.200	-0.797355
0.630000	0.200	-0.798955
0.633333	0.200	-0.801553
0.636667	0.200	-0.804450
0.640000	0.200	-0.807009
0.643333	0.200	-0.808910
0.646667	0.200	-0.810271
0.650000	0.200	-0.811090
0.653333	0.200	-0.810951
0.656667	0.200	-0.809607
0.660000	0.200	-0.807456
0.663333	0.200	-0.805374
0.666667	0.200	-0.804454
0.670000	0.200	-0.805717
0.673333	0.200	-0.809204
0.676667	0.200	-0.813560
0.680000	0.200	-0.817222
0.683333	0.200	-0.819635
0.686667	0.200	-0.821270
0.690000	0.200	-0.822986
0.693333	0.200	-0.825281
0.696667	0.200	-0.827955
0.700000	0.200	-0.830542
0.703333	0.200	-0.832633
0.706667	0.200	-0.833765
0.710000	0.200	-0.833833
0.713333	0.200	-0.833548
0.716667	0.200	-0.833763
0.720000	0.200	-0.834698
0.723333	0.200	-0.835895
0.726667	0.200	-0.836507
0.730000	0.200	-0.836129
0.733333	0.200	-0.835340
0.736667	0.200	-0.835007
0.740000	0.200	-0.835672
0.743333	0.200	-0.837656
0.746667	0.200	-0.840783
0.750000	0.200	-0.843977
0.753333	0.200	-0.846112
0.756667	0.200	-0.847191
0.760000	0.200	-0.848069
0.763333	0.200	-0.849314
0.766667	0.200	-0.850671
0.770000	0.200	-0.851520
0.773333	0.200	-0.851610
0.776667	0.200	-0.851343
0.780000	0.200	-0.851361
0.783333	0.200	-0.851812
0.786667	0.200	-0.852196
0.790000	0.200	-0.851904
0.793333	0.200	-0.850780
0.796667	0.200	-0.849225
0.800000	0.200	-0.847859
0.803333	0.200	-0.847124
0.806667	0.200	-0.847031
0.810000	0.200	-0.847212
0.813333	0.200	-0.847459
0.816667	0.200	-0.848104
0.820000	0.200	-0.849596
0.823333	0.200	-0.852029
0.826667	0.200	-0.855233
0.830000	0.200	-0.858998
0.833333	0.200	-0.863153
0.836667	0.200	-0.867510
0.840000	0.200	-0.871746
0.843333	0.200	-0.875579
0.846667	0.200	-0.878886
0.850000	0.200	-0.881408
0.853333	0.200	-0.882378
0.856667	0.200	-0.879756
0.860000	0.200	-0.869267
0.863333	0.200	-0.844748
0.866667	0.200	-0.800208
0.870000	0.200	-0.732122
0.873333	0.200	-0.640413
0.876667	0.200	-0.527311
0.880000	0.200	-0.394542
0.883333	0.200	-0.238919
0.886667	0.200	-0.039709
0.890000	0.200	0.276399
0.893333	0.200	0.886658
0.896667	0.200	2.077761
0.900000	0.200	4.127026
0.903333	0.200	7.078826
0.906667	0.200	10.580493
0.910000	0.200	13.956767
0.913333	0.200	16.511672
0.916667	0.200	17.837944
0.920000	0.200	17.925808
0.923333	0.200	17.055814
0.926667	0.200	15.608829
0.930000	0.200	13.921137
0.933333	0.200	12.223481
0.936667	0.200	10.638835
0.940000	0.200	9.207116
0.943333	0.200	7.920171
0.946667	0.200	6.756680
0.950000	0.200	5.706050
0.953333	0.200	4.775170
0.956667	0.200	3.981418
0.960000	0.200	3.340718
0.963333	0.200	2.858828
0.966667	0.200	2.529908
0.970000	0.200	2.340562
0.973333	0.200	2.275294
0.976667	0.200	2.320410
0.980000	0.200	2.464119
0.983333	0.200	2.693061
0.986667	0.200	2.988901
0.990000	0.200	3.327654
0.993333	0.200	3.681719
0.996667	0.200	4.023331
1.000000	0.200	4.327936
1.003333	0.200	4.576888
1.006667	0.200	4.759824
1.010000	0.200	4.876787
1.013333	0.200	4.939314
1.016667	0.200	4.968618
1.020000	0.200	4.989279
1.023333	0.200	5.020029
1.026667	0.200	5.065389
1.030000	0.200	5.111884
1.033333	0.200	5.132060
1.036667	0.200	5.095923
1.040000	0.200	4.984308
1.043333	0.200	4.797617
1.046667	0.200	4.556402
1.050000	0.200	4.295376
1.053333	0.200	4.055744
1.056667	0.200	3.879257
1.060000	0.200	3.804838
1.063333	0.200	3.867562
1.066667	0.200	4.098906
1.070000	0.200	4.525808
1.073333	0.200	5.166593
1.076667	0.200	6.024159
1.080000	0.200	7.078036
1.083333	0.200	8.276626
