File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/315.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA2
Injection Number	23
Position	GA2
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	6:40:03 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.081968
Signal Max.	169.965789
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002664
0.006667	0.200	-0.018757
0.010000	0.200	-0.061354
0.013333	0.200	-0.126218
0.016667	0.200	-0.187466
0.020000	0.200	-0.218863
0.023333	0.200	-0.212370
0.026667	0.200	-0.177818
0.030000	0.200	-0.133024
0.033333	0.200	-0.093715
0.036667	0.200	-0.067654
0.040000	0.200	-0.055206
0.043333	0.200	-0.053278
0.046667	0.200	-0.058183
0.050000	0.200	-0.066940
0.053333	0.200	-0.077808
0.056667	0.200	-0.090113
0.060000	0.200	-0.103795
0.063333	0.200	-0.118910
0.066667	0.200	-0.135126
0.070000	0.200	-0.151417
0.073333	0.200	-0.166438
0.076667	0.200	-0.179321
0.080000	0.200	-0.190169
0.083333	0.200	-0.199930
0.086667	0.200	-0.209716
0.090000	0.200	-0.220055
0.093333	0.200	-0.230672
0.096667	0.200	-0.240872
0.100000	0.200	-0.250245
0.103333	0.200	-0.259000
0.106667	0.200	-0.267662
0.110000	0.200	-0.276596
0.113333	0.200	-0.285801
0.116667	0.200	-0.295051
0.120000	0.200	-0.304073
0.123333	0.200	-0.312655
0.126667	0.200	-0.320968
0.130000	0.200	-0.329508
0.133333	0.200	-0.338276
0.136667	0.200	-0.346481
0.140000	0.200	-0.353513
0.143333	0.200	-0.359726
0.146667	0.200	-0.366053
0.150000	0.200	-0.373466
0.153333	0.200	-0.382554
0.156667	0.200	-0.392794
0.160000	0.200	-0.402591
0.163333	0.200	-0.410660
0.166667	0.200	-0.417146
0.170000	0.200	-0.423396
0.173333	0.200	-0.430907
0.176667	0.200	-0.440439
0.180000	0.200	-0.451596
0.183333	0.200	-0.462912
0.186667	0.200	-0.472903
0.190000	0.200	-0.481324
0.193333	0.200	-0.489036
0.196667	0.200	-0.496940
0.200000	0.200	-0.505433
0.203333	0.200	-0.514676
0.206667	0.200	-0.524686
0.210000	0.200	-0.534803
0.213333	0.200	-0.543851
0.216667	0.200	-0.551306
0.220000	0.200	-0.557773
0.223333	0.200	-0.564234
0.226667	0.200	-0.571315
