File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/689.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA5
Injection Number	26
Position	GA5
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:15:02 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.877413
Signal Max.	331.775186
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002458
0.006667	0.200	-0.017010
0.010000	0.200	-0.054688
0.013333	0.200	-0.110746
0.016667	0.200	-0.162397
0.020000	0.200	-0.187929
0.023333	0.200	-0.181746
0.026667	0.200	-0.153034
0.030000	0.200	-0.116589
0.033333	0.200	-0.084576
0.036667	0.200	-0.062629
0.040000	0.200	-0.050855
0.043333	0.200	-0.047452
0.046667	0.200	-0.050837
0.050000	0.200	-0.059451
0.053333	0.200	-0.071448
0.056667	0.200	-0.084941
0.060000	0.200	-0.098525
0.063333	0.200	-0.111829
0.066667	0.200	-0.125237
0.070000	0.200	-0.138881
0.073333	0.200	-0.152249
0.076667	0.200	-0.164778
0.080000	0.200	-0.176352
0.083333	0.200	-0.187248
0.086667	0.200	-0.197933
0.090000	0.200	-0.208784
0.093333	0.200	-0.219784
0.096667	0.200	-0.230280
0.100000	0.200	-0.239365
0.103333	0.200	-0.247124
0.106667	0.200	-0.254673
0.110000	0.200	-0.262607
0.113333	0.200	-0.270607
0.116667	0.200	-0.278435
0.120000	0.200	-0.286285
0.123333	0.200	-0.294452
0.126667	0.200	-0.303058
0.130000	0.200	-0.311998
0.133333	0.200	-0.321104
0.136667	0.200	-0.330139
0.140000	0.200	-0.338624
0.143333	0.200	-0.346217
0.146667	0.200	-0.353251
0.150000	0.200	-0.360432
0.153333	0.200	-0.368141
0.156667	0.200	-0.376298
0.160000	0.200	-0.384712
0.163333	0.200	-0.393253
0.166667	0.200	-0.401578
0.170000	0.200	-0.409059
0.173333	0.200	-0.415328
0.176667	0.200	-0.420561
0.180000	0.200	-0.424954
0.183333	0.200	-0.428397
0.186667	0.200	-0.431160
0.190000	0.200	-0.434135
0.193333	0.200	-0.437708
0.196667	0.200	-0.441583
0.200000	0.200	-0.445952
0.203333	0.200	-0.451434
0.206667	0.200	-0.458123
