File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/708.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA8
Injection Number	29
Position	GA8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:50:01 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882885
Signal Max.	252.483442
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.003097
0.006667	0.200	-0.020492
0.010000	0.200	-0.063141
0.013333	0.200	-0.123093
0.016667	0.200	-0.174771
0.020000	0.200	-0.196865
0.023333	0.200	-0.185969
0.026667	0.200	-0.153437
0.030000	0.200	-0.115807
0.033333	0.200	-0.086050
0.036667	0.200	-0.069151
0.040000	0.200	-0.063674
0.043333	0.200	-0.065954
0.046667	0.200	-0.072625
0.050000	0.200	-0.081426
0.053333	0.200	-0.091496
0.056667	0.200	-0.103017
0.060000	0.200	-0.116012
0.063333	0.200	-0.129659
0.066667	0.200	-0.142905
0.070000	0.200	-0.155184
0.073333	0.200	-0.166470
0.076667	0.200	-0.177136
0.080000	0.200	-0.187882
0.083333	0.200	-0.199286
0.086667	0.200	-0.211136
0.090000	0.200	-0.222576
0.093333	0.200	-0.232887
0.096667	0.200	-0.242016
0.100000	0.200	-0.250434
0.103333	0.200	-0.258617
0.106667	0.200	-0.266802
0.110000	0.200	-0.275072
0.113333	0.200	-0.283415
0.116667	0.200	-0.291767
0.120000	0.200	-0.300266
0.123333	0.200	-0.309226
0.126667	0.200	-0.318545
0.130000	0.200	-0.327705
0.133333	0.200	-0.336472
0.136667	0.200	-0.344713
0.140000	0.200	-0.351820
0.143333	0.200	-0.357166
0.146667	0.200	-0.361016
