File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/844.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA7
Injection Number	28
Position	GA7
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:38:19 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.889010
Signal Max.	199.927896
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002307
0.006667	0.200	-0.016240
0.010000	0.200	-0.053238
0.013333	0.200	-0.110118
0.016667	0.200	-0.165096
0.020000	0.200	-0.195478
0.023333	0.200	-0.193512
0.026667	0.200	-0.166628
0.030000	0.200	-0.129470
0.033333	0.200	-0.095568
0.036667	0.200	-0.072318
0.040000	0.200	-0.060947
0.043333	0.200	-0.059279
0.046667	0.200	-0.064215
0.050000	0.200	-0.073073
0.053333	0.200	-0.083969
0.056667	0.200	-0.095848
0.060000	0.200	-0.108315
0.063333	0.200	-0.121050
0.066667	0.200	-0.133550
0.070000	0.200	-0.145500
0.073333	0.200	-0.156945
0.076667	0.200	-0.168177
0.080000	0.200	-0.179696
0.083333	0.200	-0.192078
0.086667	0.200	-0.205590
0.090000	0.200	-0.219715
0.093333	0.200	-0.233188
0.096667	0.200	-0.244715
0.100000	0.200	-0.253581
0.103333	0.200	-0.259932
0.106667	0.200	-0.265094
0.110000	0.200	-0.271098
0.113333	0.200	-0.278916
0.116667	0.200	-0.287676
0.120000	0.200	-0.296261
0.123333	0.200	-0.304769
0.126667	0.200	-0.313762
0.130000	0.200	-0.323045
0.133333	0.200	-0.331802
0.136667	0.200	-0.339337
0.140000	0.200	-0.345469
0.143333	0.200	-0.350608
0.146667	0.200	-0.355448
